hypothesis,group,seed,cell_id,luck_level,experiment_id,max_depth,net_profit
H3,experiment_1,10000316,pickaxe_nofood,1,1,8.0,215.89999999999984
H3,experiment_1,10000317,pickaxe_nofood,1,1,12.0,-227.9000000000001
H3,experiment_1,10000318,pickaxe_nofood,1,1,10.0,-325.20000000000005
H3,experiment_1,10000319,pickaxe_nofood,1,1,9.0,410.5
H3,experiment_1,10000320,pickaxe_nofood,1,1,19.0,248.0999999999999
H3,experiment_1,10000321,pickaxe_nofood,1,1,17.0,806.6999999999998
H3,experiment_1,10000322,pickaxe_nofood,1,1,4.0,-413.4000000000001
H3,experiment_1,10000323,pickaxe_nofood,1,1,5.0,-228.6
H3,experiment_1,10000324,pickaxe_nofood,1,1,7.0,33.899999999999864
H3,experiment_1,10000325,pickaxe_nofood,1,1,6.0,449.0
H3,experiment_1,10000326,pickaxe_nofood,1,1,14.0,-255.9000000000001
H3,experiment_1,10000327,pickaxe_nofood,1,1,8.0,-403.6
H3,experiment_1,10000328,pickaxe_nofood,1,1,4.0,-739.6
H3,experiment_1,10000329,pickaxe_nofood,1,1,8.0,-420.4000000000001
H3,experiment_1,10000330,pickaxe_nofood,1,1,3.0,106.69999999999982
H3,experiment_1,10000331,pickaxe_nofood,1,1,5.0,-177.5
H3,experiment_1,10000332,pickaxe_nofood,1,1,10.0,265.5999999999999
H3,experiment_1,10000333,pickaxe_nofood,1,1,11.0,7.999999999999886
H3,experiment_1,10000334,pickaxe_nofood,1,1,13.0,191.39999999999984
H3,experiment_1,10000335,pickaxe_nofood,1,1,22.0,-438.6
H3,experiment_1,10000336,pickaxe_nofood,1,1,4.0,600.8999999999999
H3,experiment_1,10000337,pickaxe_nofood,1,1,12.0,278.89999999999986
H3,experiment_1,10000338,pickaxe_nofood,1,1,4.0,-268.5
H3,experiment_1,10000339,pickaxe_nofood,1,1,2.0,-547.8
H3,experiment_1,10000340,pickaxe_nofood,1,1,9.0,-512.8
H3,experiment_1,10000341,pickaxe_nofood,1,1,3.0,-612.2
H3,experiment_1,10000342,pickaxe_nofood,1,1,14.0,54.200000000000045
H3,experiment_1,10000343,pickaxe_nofood,1,1,17.0,1631.2999999999995
H3,experiment_1,10000344,pickaxe_nofood,1,1,3.0,-36.10000000000002
H3,experiment_1,10000345,pickaxe_nofood,1,1,6.0,-340.6
H3,experiment_1,10000346,pickaxe_nofood,1,1,3.0,-395.2000000000001
H3,experiment_1,10000347,pickaxe_nofood,1,1,3.0,-290.20000000000005
H3,experiment_1,10000348,pickaxe_nofood,1,1,8.0,-36.10000000000002
H3,experiment_1,10000349,pickaxe_nofood,1,1,12.0,43.0
H3,experiment_1,10000350,pickaxe_nofood,1,1,10.0,513.3999999999999
H3,experiment_1,10000351,pickaxe_nofood,1,1,10.0,-135.5
H3,experiment_1,10000352,pickaxe_nofood,1,1,3.0,498.0
H3,experiment_1,10000353,pickaxe_nofood,1,1,2.0,-555.5
H3,experiment_1,10000354,pickaxe_nofood,1,1,4.0,565.1999999999998
H3,experiment_1,10000355,pickaxe_nofood,1,1,3.0,737.3999999999999
H3,experiment_1,10000356,pickaxe_nofood,1,1,14.0,-94.90000000000008
H3,experiment_1,10000357,pickaxe_nofood,1,1,10.0,-510.00000000000006
H3,experiment_1,10000358,pickaxe_nofood,1,1,3.0,750.6999999999998
H3,experiment_1,10000359,pickaxe_nofood,1,1,7.0,-558.3
H3,experiment_1,10000360,pickaxe_nofood,1,1,18.0,232.0
H3,experiment_1,10000361,pickaxe_nofood,1,1,23.0,295.0
H3,experiment_1,10000362,pickaxe_nofood,1,1,16.0,1499.0
